,date,gap,gap_direction,filled
125,2018-10-29,3.079999999999984,up,True
126,2018-10-30,0.11000000000001364,up,True
127,2018-10-31,3.009999999999991,up,False
128,2018-11-01,1.079999999999984,up,True
129,2018-11-02,1.3999999999999773,up,True
130,2018-11-05,0.4900000000000091,up,True
131,2018-11-06,-0.35000000000002274,down,True
132,2018-11-07,2.329999999999984,up,False
133,2018-11-08,-0.8799999999999955,down,True
134,2018-11-09,-1.509999999999991,down,False
135,2018-11-12,-0.5400000000000205,down,False
136,2018-11-13,0.3100000000000023,up,True
137,2018-11-14,2.5299999999999727,up,True
138,2018-11-15,-1.3600000000000136,down,True
139,2018-11-16,-1.0600000000000023,down,True
140,2018-11-19,-0.8299999999999841,down,False
141,2018-11-20,-3.8600000000000136,down,False
142,2018-11-21,2.0399999999999636,up,False
143,2018-11-23,-1.7300000000000182,down,False
144,2018-11-26,2.8600000000000136,up,False
145,2018-11-27,-1.2900000000000205,down,True
146,2018-11-28,1.3799999999999955,up,False
147,2018-11-29,-0.48999999999995225,down,True
148,2018-11-30,-0.18999999999999773,down,True
149,2018-12-03,4.439999999999998,up,False
150,2018-12-04,-0.6800000000000068,down,False
151,2018-12-06,-4.409999999999968,down,False
152,2018-12-07,-0.589999999999975,down,True
153,2018-12-10,-0.14999999999997726,down,True
154,2018-12-11,3.2199999999999704,up,True
155,2018-12-12,3.230000000000018,up,False
156,2018-12-13,0.9499999999999886,up,True
157,2018-12-14,-2.150000000000034,down,False
158,2018-12-17,-1.1800000000000068,down,True
159,2018-12-18,1.6800000000000068,up,True
160,2018-12-19,0.28999999999999204,up,True
161,2018-12-20,-1.339999999999975,down,True
162,2018-12-21,-1.009999999999991,down,True
163,2018-12-24,-1.5800000000000125,down,False
164,2018-12-26,2.9000000000000057,up,False
165,2018-12-27,-3.710000000000008,down,True
166,2018-12-28,1.1500000000000057,up,True
167,2018-12-31,2.0600000000000023,up,True
168,2019-01-02,-3.8000000000000114,down,True
169,2019-01-03,-2.0900000000000034,down,False
170,2019-01-04,3.039999999999992,up,False
171,2019-01-07,0.4300000000000068,up,True
172,2019-01-08,2.5299999999999727,up,True
173,2019-01-09,0.8199999999999932,up,True
174,2019-01-10,-1.4699999999999704,down,True
